"filename", "language", "TypeScript", "TypeScript JSX", "Python", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_5.ts", "TypeScript", 70, 0, 0, 6, 17, 93
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_6.ts", "TypeScript", 90, 0, 0, 5, 18, 113
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_7.ts", "TypeScript", 74, 0, 0, 3, 15, 92
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_master.ts", "TypeScript", 44, 0, 0, 4, 8, 56
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr7_1.ts", "TypeScript", 58, 0, 0, 3, 9, 70
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr7_2.ts", "TypeScript", 66, 0, 0, 3, 15, 84
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr7_3.ts", "TypeScript", 68, 0, 0, 4, 15, 87
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr7_4.ts", "TypeScript", 68, 0, 0, 4, 15, 87
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr7_5.ts", "TypeScript", 77, 0, 0, 3, 15, 95
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr7_6.ts", "TypeScript", 61, 0, 0, 5, 11, 77
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr7_7.ts", "TypeScript", 76, 0, 0, 3, 17, 96
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr7_master.ts", "TypeScript", 44, 0, 0, 4, 8, 56
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr8_1.ts", "TypeScript", 50, 0, 0, 3, 9, 62
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr8_2.ts", "TypeScript", 84, 0, 0, 4, 12, 100
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr8_3.ts", "TypeScript", 66, 0, 0, 3, 14, 83
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr8_4.ts", "TypeScript", 61, 0, 0, 3, 14, 78
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr8_5.ts", "TypeScript", 50, 0, 0, 7, 15, 72
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr8_6.ts", "TypeScript", 67, 0, 0, 3, 12, 82
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr8_7.ts", "TypeScript", 53, 0, 0, 3, 10, 66
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr8_8.ts", "TypeScript", 78, 0, 0, 4, 12, 94
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr9_1.ts", "TypeScript", 46, 0, 0, 3, 10, 59
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr9_2.ts", "TypeScript", 35, 0, 0, 3, 12, 50
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr9_3.ts", "TypeScript", 73, 0, 0, 3, 12, 88
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr9_4.ts", "TypeScript", 55, 0, 0, 3, 11, 69
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr9_5.ts", "TypeScript", 66, 0, 0, 3, 12, 81
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr9_6.ts", "TypeScript", 49, 0, 0, 3, 12, 64
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr9_7.ts", "TypeScript", 41, 0, 0, 3, 15, 59
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr9_8.ts", "TypeScript", 69, 0, 0, 3, 14, 86
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\trendEngine.test.ts", "TypeScript", 46, 0, 0, 5, 11, 62
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\aiContext.ts", "TypeScript", 27, 0, 0, 4, 7, 38
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\aiContracts.ts", "TypeScript", 24, 0, 0, 4, 5, 33
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\types\aiConversation.ts", "TypeScript", 33, 0, 0, 4, 6, 43
