"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Python", "JavaScript", "XML", "Markdown", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\engine\providerRegistry.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 13, 5, 40
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\tests\aiIntegration.test.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 2, 15, 90
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\aiIntegration\types\aiIntegration.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 4, 21
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\config\alertConfig.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\alertDecisionEngine.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 18, 13, 100
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\alertOutputBuilder.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 1, 31
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\alertRuleEngine.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 10, 8, 66
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\cooldownTracker.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 13, 6, 42
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\escalationEngine.ts", "TypeScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 13, 10, 72
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\engine\priorityEngine.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 9, 6, 44
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\tests\alertDecisionEngine.test.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 11, 78
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\alerts\types\alerts.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\classifiers\healthClassifier.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 1, 18
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\intelligence\config\engineConfig.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 5, 3, 58
